id,tag
307,trigger strategy
308,socially optimal outcome
208,cost-benefit analysis
303,Hawk
304,Dove
319,mixed-strategy
320,Cournot industry
321,demand function
328,function
292,resource allocation
340,deviations
341,practicality
345,industry demand curve
325,industry
347,increasing marginal costs
348,AC curves
351,multiple firms
352,market survival
353,Arrow-Debreu model
355,laissez-faire
357,Bertrand oligopoly
363,enforceable trades
364,efficient result
368,Tullock
371,effort allocation
372,studying
377,cash bribes
359,assumptions
380,diploma value
381,professors
382,increased competition
383,academic positions
396,false positive rate
397,disease
398,healthy people
400,random testing
285,formula
295,PSNE
403,given data
404,approximate probability
416,Type A
442,Hawk-Dove game
411,demand functions
265,negotiation
414,linear utility
418,log utility
427,Indifference Principle
432,special case
273,population growth
421,Pareto-inferior equilibria
202,repeated games
438,strictly dominant
439,equal payoffs
258,even split
212,workers
417,Type B
422,subgame perfect
392,altruism
384,social benefit
180,sustainability
264,focal points
342,real world
309,Nash Equilibrium
367,coordination games
267,immigration
223,total cost
294,2-player game
291,Pareto efficient
394,conditional probability
219,inefficiency
395,Bayes' Rule
316,coin flip
399,population
296,MSNE
232,contestable monopoly
358,Ultimatum game
362,P=MC
268,wages
365,repeated play
278,butter
324,split
430,choices
274,innovation
424,sequential game
287,The sorted tags for this question
361,first-best outcome
447,focal point
269,low-skilled Americans
290,lexicographic preferences
323,profit
67,collusion
272,negative externality
288,from better to worst
385,voluntary donation game
386,2-player version
410,utility functions
281,utility
217,fixed costs
220,quantity
387,symmetric Nash equilibrium
286,calculation
22,price
448,SGP NE
456,self-enforcing
457,Ultimatum game offer
458,Ultimatum game refusal
459,Ultimatum game payoff
460,Hawk-Dove equilibrium
472,cheap-talk
475,non-cooperative games
493,Type As
494,Type Bs
499,bargainer
500,soft bargainer
501,hard bargainer
502,disutility of conflict
503,tranquility
504,welfare
510,entry deterrence game
513,Fighting
518,reputation strategy
525,economic welfare
526,welfare analysis
527,social welfare
528,economic efficiency
533,occupation of Iraq
534,terrorism
537,betting market clearing
538,short selling
563,pure strategy Nash equilibrium
540,economic experiments
541,general equilibrium analysis
542,predictive value
543,confirm
544,opposite
545,striking
546,support
675,spoils
581,quantities
582,splitting
583,additional firms
587,Bertrand collusion
588,monopoly profit
590,diseconomies of scale
597,Kaldor-Hicks efficient
603,Hobbes
613,example
614,valuation
618,persistent
620,real-world example
623,first-movers
624,survey research
626,publication
628,heterogenous preferences
629,market leaders
630,status
631,accomplishments
632,change in rules
640,men
642,price supports
646,relative beauty
647,absolute beauty
649,average level
650,society
651,commodifies
652,cheapens
653,life
654,war on drugs
655,efficiency analysis
656,salaries
657,government employees
658,enforce laws
660,opportunity cost
663,bertrand competition
572,demand
678,trade
683,isolated islands
684,infinite interest rate
685,0% interest rate
686,equally abundant
687,equally valued
609,Pure Strategy Nash Equilibrium
668,marginal cost
564,backward induction
550,mixed strategy
703,game
705,finitely-repeated game
708,turn
635,cosmetic surgery
680,general equilibrium formula
512,Incumbent
467,SGPPSNE
619,change
337,punishment
56,strategies
480,demand curve
599,N players
481,AC curve
639,value
519,Kaldor-Hicks improvement
644,buyers
670,island
484,average cost
602,Leviathan
638,prisoners' dilemma
710,Coordination game
536,wealth
604,government
645,supply
454,deviation
474,communication
592,public good
570,production
641,women
508,transactions costs
610,Mixed Strategy Nash Equilibrium
532,beliefs
608,Hawk/Dove game
535,price ratio
478,Kreps
547,Walrasian equilibrium
605,war
606,peace
32,strategy
617,goods
616,preferences
586,discount rate
695,probabilities
473,outcomes
707,one-shot game
643,sellers
530,betting market
554,indifference
490,redistribution
627,economists
661,transfer
637,counter-argument
498,economy
664,efficient outcomes
648,resources
57,payoffs
622,incentives
600,discrete
593,contribution
487,monopolist
666,equally efficient competitor
729,Bertrand competitors
731,infinitely-repeated game
732,lion's share
517,beta
739,threshold
740,pi_monopoly
743,satellite television
833,PD game
746,market structure
748,merger
962,first-mover advantage
752,overall efficiency
754,self-refuting
755,Caplan's argument
756,doubts
758,belief
765,symmetry
777,transition
778,government succession
780,cultural expectations
781,revolutions
782,elite ideological change
784,stepping down
785,weakness
786,confusion
787,attack
788,power-hungry
789,unstable
790,democratic revolutions
791,intellectual activism
792,focal political system
793,Bayes Rule
796,crime
797,Levitt's research
802,state of affairs
804,feasible
805,worse off
810,Clinton
811,Obama
812,Democratic nomination
814,certainty
816,short sales
817,total assets
820,robbery
821,treasure chest
822,police
823,victims
824,money
825,lying
827,truth-telling
828,focal equilibrium
829,claims
830,total amount
551,expected payoffs
713,threat
985,subgame perfection
515,inequality
846,suspicion
847,rational actions
848,possibility
851,threatening
852,fail students
854,contestable monopoly game
856,expected profits
861,flipping the coin
863,profitable equilibria
869,selfish consumers
870,selfish producers
873,cost curve
876,linear demand
877,zero costs
880,Bertrand model
881,feasibility
882,patience
883,sustain
885,migration
887,skilled workers
888,unskilled workers
891,Second Welfare Theorem
892,Pareto-improving policy reform
893,Kaldor-Hicks efficient outcome
894,wage declines
896,entry fee
897,exit fee
908,desert island
909,mutual warfare
911,mutual peace
912,fighting ability
915,gain a friend
916,risk severe injury
917,island encounter
918,ex ante Pareto efficiency
920,long-run
923,uncompensated Kaldor-Hicks improvements
925,someone who slips through the cracks
926,ex ante better off
927,status quo
945,interaction
933,spoiling
957,output level
959,potential entrants
975,finite game
976,known
914,total output
747,free entry
986,profit function
987,reaction function
989,Stackelberg model
850,microeconomic theory
991,first mover
992,second mover
1003,nuclear weapons
1004,devastation
809,participants
1007,employment
1009,real interest rates
1010,labor productivity
1011,satiation
898,revenue
318,turn 2
734,monopoly profits
855,sunk costs
728,marginal costs
922,losses
994,War/Peace game
907,high prices
879,Cournot model
901,price discrimination
862,simultaneous play
795,abortion
110,repeated game
125,interest rate
899,popcorn
902,imperfect competition
921,benefits
995,atomic weapons
996,risks of war
818,ratio
757,argument
783,democracy
958,short run
799,Pareto efficiency
993,SGPNE
884,comparison
801,deadweight costs
601,optimal level
831,unique equilibrium
871,supply curve
903,market entry
1012,labor demand
1013,labor supply curve
1014,positive real interest rate
1019,government protection
1020,efficiency levels
1021,regulated profits
1022,competition levels
1023,maximize profits
1024,additional assumptions
1028,child creation
1029,natalist subsidies
1034,congestion
1037,Landsburg's Indifference Principle
1038,efficiency rationale
1039,taxing negative externalities
1040,rents
1041,tenants
1042,owners of fixed resources
1208,dominant strategy
1050,equilibrium price
1068,NE (Nash equilibrium)
1069,ticket price
1080,average earnings
1087,lobbying process
1092,linear
1094,Harberger triangle
1098,firms' costs
1102,profitable firms
1103,market price
1104,Total Cost
1106,Cournot duopoly
1107,monopoly result
1111,zero firms
1112,infinite price
1113,effective price
1116,entry
1121,reputational incentives
1122,fraud
1123,time preference
1124,number of turns
1127,honest mistakes
1128,anti-fraud efforts
1132,cartels
1138,undercutting
1139,short-run gains
1142,voluntary
1143,equilibrium interest rate
1148,Type A agents
1149,Type B agents
1157,Nash Equilibria
1170,Entrant
1179,repeat game
1171,candidate equilibrium
1183,Predation
1186,identical firms
1297,higher output
1197,lower prices
1199,exit the market
1200,duplication of fixed costs
1202,customers.
1209,strictly dominated
1215,are: probability theory
1216,realism
1217,willingness-to-pay assumption
1218,behavior
1219,trade-offs
1220,objections
1221,Caplan.
1223,shipwrecked
1224,Thomas Hobbes
1226,murder
1229,human beings
1061,incentive
1234,GDP
1231,U.S.
1239,estimate
1188,second-best efficient outcome
1243,essential services
1246,econometrics
1247,reliable
1248,CK
1249,Card-Krueger
1250,minimum wage study
1252,true
1270,indifferent
1271,Comics
1272,Chess
1273,Opera
1275,incumbent
1276,potential entrant
1280,antitrust violations
1283,prosecution
1285,entrant
1158,Subgame Perfect Nash Equilibrium
1288,average cost curve
1292,Stackelberg equilibrium
1293,Cournot equilibrium
1294,costs of production
1131,public goods
1310,commodities
1311,non-negative consumption
1015,monopolies
1314,market price vector
1315,continuity
1317,consumption bundles
1319,satiation points
1320,total demand
1321,lumpy goods
1322,discrete reactions
1100,two firms
1326,monopolistic competition
1327,geographic monopoly
906,substitutes
900,movie theaters
1331,repeat business
1332,government grant
1306,general equilibrium theory
1335,prohibition
1336,product
1339,consumers surplus
1201,advantage
94,competition
1035,willingness to pay
1241,voters
1115,monopoly quantity
1033,air pollution
1242,politicians
1062,giver
1044,taxes
1086,monopoly privilege
1095,Tullock rectangle
1256,pure strategy
1284,fixed cost
988,output
1066,movies
1330,restrooms
221,firm
1253,false
1016,productively inefficient
1233,percentage
1235,government spending
1055,endowments
1296,consumers
724,monopoly
1114,monopoly price
1057,Dictator game
1017,costs
1341,worst-case scenario
1342,strictly enforced ban
1346,socially optimal output
1348,externality
1349,welfare-enhancing
1350,competition-driven overproduction
1351,underproduction
1355,real-world
1356,Pareto improvements
1357,difficult
1359,better off
1360,hurting
1361,identifying
1362,compensating
1368,market value
1377,variant
1384,Pure Strategy Nash Equilibria
1388,product features
1390,competitive price
1391,package
1393,bathrooms
1394,amenities
1395,popcorn pricing
1398,admission
1400,Bertrand game
1409,future profits
1410,subsequent periods
1411,Pi_m
1413,sum
1414,infinity
1415,simplify
1416,colluding firms
1423,objection
1425,subjective probability theory
1426,discrete probability categories
1427,behavior prediction
1428,continuous model
1431,violation
1433,labor
1437,economic effects
1438,software patent
1441,non-labor assets
1442,tax-funded redistribution
1443,charity
1444,effective labor supply
1445,GDP per human
1447,land
1448,capital
1449,patents
1451,Centipede Game
1453,theoretical maximum payoff
1454,random American
1455,random Ph.D. Micro student
1456,GMU
1458,cooperate
1460,anonymity
1461,identities
1462,significant amount of money
1464,tax
1475,Don't Defect
1479,socially optimal result
1482,mixed strategy equilibrium
1488,Subgame Perfect Pure Strategy Nash Equilibrium
1489,50/50 split
1490,100/0 split
1063,receiver
1434,patent
1494,entry deterrence
1495,legal monopoly
1498,discourage entry
1499,close substitutes
1502,substitute goods
1503,sunk cost
1505,mixed strategies
1506,enter
1518,Bertrand-style lobbying
1519,Cournot-style lobbying
1088,rent dissipation
1527,assumption
1529,theorem
1530,no-externalities
1628,territoriality
1533,real-world market outcomes
1540,fair
1541,honorable
1542,credible punishments
1543,end-game problem
1548,social outcome
1551,market mechanisms
1557,socially harmful behavior
1558,market quantity
1561,alternatives
1545,Invisible Hand
1586,individual utility maximization
1588,competitive prices
1352,severity
1590,inefficient equilibria
1591,educational signaling
1597,Left
1598,Right
1599,SGPPSNE equilibrium
1600,beta>0
1601,incentive to deviate
1602,Cournot firms
1607,equilibrium number of firms
1610,integer
1613,equilibrium prices
1614,MC=0
1616,P>MC
1619,Mises
1347,perfect competition
1621,causality
1622,knowledge
1623,conditional probabilities
1625,exam attendance
1626,decision-making
1627,Schelling points
1629,national borders
1632,minor territorial transgressions
1633,Falkland Island crisis
1634,United Kingdom
1635,Argentina
1636,sparsely-inhabited islands
1637,south Pacific
1638,Crimean crisis
1639,Russia
1474,Defect
1556,lump-sum taxes
1432,artificial intelligence
1406,sustainable
1593,N times
1609,deadweight cost
1446,earnings
1459,backwards induction
1524,market outcomes
1618,actions
1343,surplus
1353,market conditions
1363,losers
1375,equilibrium condition
1467,Pareto improvement
1501,producers
1560,social benefits
1424,Caplan
1555,government revenue
1546,culture
123,general equilibrium
1509,cost function
1603,TC
231,market
1640,ethnically Russian territory
1641,Ukraine
1642,trust
1643,low-trust equilibrium
1644,honest broker
1646,step-by-step
1647,investments
1649,visible
1650,long-term commitment
1651,team
1652,employees
1654,free products
1386,quality
1657,discounts
1658,referrals
1659,franchise
1660,certification
1661,reputable outsider
1662,multinational corporation
1667,exogenous price vector
1676,price vector
1688,punishments
1693,customer diversity
1694,supplier monopoly
1697,theater
1699,marginal cost pricing
1707,even
1709,alternating
1710,back and forth
1715,temptation
1717,turns
1723,sequential play
1726,market output
1733,existing policy
1734,highly inefficient
1735,first-best sense
1736,U.S. law
1737,unpopular religions
1738,Satanism
1739,religious toleration
1740,second-best optimum
1741,bilateral monopoly
1743,textbook commentary
1747,manipulation
1748,experiments
1751,negotiations
1752,human behavior
1753,computer players
1754,influence
1755,tags: bargaining
1759,stable expectations
1762,empirically relevant model
1763,reputation model
1764,ultimatum game model
1766,internet age
1767,product reviews
1768,ratings
1769,long-term profits
1770,real-life situations
1772,immigrants
276,demand elasticity
1923,cognition
1789,General Equilibrium
1797,combinations
1805,even N
1808,last turn
1713,defecting
1814,infinite number of firms
1815,survive
1819,cost structure
997,human extinction
1831,frequency of playing War
1832,risk of actual war
1835,market structures
1244,lobbying
1840,government regulation
1841,gold-plating effect
1843,zero marginal cost
1844,perfect substitute
1845,human labor
1436,human welfare
1854,experimental tests
1856,individual behavior
1857,firm behavior
1859,oligopolistic industries
1860,atomistic industries
1869,true or false
1876,Pareto dominated
1877,desirable Nash equilibrium
1883,restrictions
1885,politically incorrect
1886,economically correct
1887,oligopolists
1888,identical products
1893,rational players
1894,selfish players
1895,tacit collusion
1898,empirical evidence
1899,gamble
1900,lotteries
1901,subjective numerical probabilities
1902,subjective utility
1903,taste for risk
1910,irrational expectations
1912,adverse selection problem
1914,buyer's surplus
1915,seller's surplus
1670,total surplus
1932,experimental evidence
1921,error
1922,information
1924,sugar subsidies
1925,sugar industry
1926,bankruptcy
1927,crisis
1928,endowment effect
1929,Coase Theorem
1930,mug prices
1933,price differentials
1935,base rate
1936,engineers
1937,lawyers
1938,pocket protector
1941,representativeness bias
1942,Fred
1943,adjustments
1947,hourly wage
1742,bargaining
1683,ultimatum game
1684,standard game theory
1765,business
1917,symmetric information
1911,efficient market
1944,education
1908,market for lemons
1906,risk-neutral
1905,risk-averse
1913,rational expectations
1934,biases
1897,expected utility theory
1882,laws
1653,customers
1919,subjective probability
1920,objective probability
1945,return to education
1822,AC
1949,work enjoyment
1952,tuition
1953,work experience
1954,completion rate
1955,ability
1957,liquidity constraints
1959,consumption smoothing
1960,borrowing behavior
1961,collateral
1962,econ grad student
1963,tenure econ professor
1964,expected future incomes
1965,credit
1966,reverse mortgages
1968,concentrated benefits
1969,diffuse costs
1970,omnibus repeal bill
1971,Fiorina
1972,Noll
1973,Shepsle
1974,Weingast
1975,asymmetric voter behavior
1976,awareness of benefits
1977,costs of incumbent facilitation
1979,pork barrel spending
1980,public choice models
1982,aggregation
1983,well-informed voters
1984,uninformed voters
1985,random errors
1986,supply and demand
1988,competitive equilibrium
1989,government policy
1990,free healthcare
1994,risk-taking
1995,quantity supplied
1996,quantity demanded
2147,constant level of consumption
2004,derivatives
2005,first derivative
2006,second derivative
2148,permanent-income hypothesis
2149,utility-maximizing
2017,biased beliefs
2011,expected utility function
2014,solve
2087,expected utility
2018,inefficient policies
2019,public opinion
2020,education policy
2023,consequences
2024,negatively biased views
2026,long run
2029,benefits of education
2031,political systems
2033,SEJ 1999
2034,delusional
2035,perception
2036,zero-probability event
2037,doubt
2038,impossible
2041,thinking
2042,observe
2043,rational
2044,update
2045,sane
2046,insane
2051,unravel
2055,defector
2179,defect
2063,Bertrand
1958,debt aversion
1998,risk aversion
2084,coverage
2086,optimal
2090,propitious selection
2092,life insurance
2095,probability of death
2096,premium price
2099,informed decision making
2101,errors
2102,decision making
1746,expectations
2104,phenomenon
2106,stable preferences
2110,empirical research
2112,standard economic assumption
2113,homogeneity of preferences
2115,budget constraints
2116,preference heterogeneity
2118,choice variability
2119,personality psychology
2120,stability of preferences
2121,individual differences
2122,extreme behaviors
2123,adulthood
2124,availability bias
2126,experiment
2127,populations
2128,subjects
2129,guess
2130,list
2131,countries
2132,true populations
2133,data analysis
2134,Chi-Squared analysis
2135,statistical difference
2139,compensation
2140,working conditions
1950,bias
1951,estimates
2144,neoclassical agent
2145,diminishing marginal utility of wealth
2146,perfect capital markets
2150,smoothing consumption
2152,presidential election
2153,Bush wins
2154,Bush does not win
2155,shares
2157,Arrow-Debreu assumptions
2159,marginal trader
2161,assets
2162,payout value
2163,present value considerations
2164,bid
2165,market estimate
2166,market power
2167,strategic behavior
2168,general equilibrium assumptions
2169,marginal voter
2170,probability of winning
1685,unraveling
1811,stage game
2180,equal split
2012,derivative
2028,funding
1987,deadweight loss
1967,Wittman
2141,educated workers
2136,evidence
2097,individual
2021,intelligence research
2111,personality
2094,overestimation
1992,moral hazard
2114,consumer choice
2060,constant MC
2000,actuarially fair rate
2125,behavioral economics
2093,risk
1993,insurance
2002,uninsured income
2181,one-shot ultimatum game
2185,utility maximization
2192,solving equations
2196,critics
2198,The Market For Lemons
2199,cars
2200,realized surplus
2201,Thaler
2202,Winner's Curse
2203,Milton Friedman
2204,economic theories
2205,unrealistic assumptions
2206,accurate predictions
2207,critique
2211,searching for a job
2216,job outcome
2217,insurance payout
2219,stock market
2220,Saddam Hussein
2221,capture
2222,U.S. economy
2223,Efficient Markets Hypothesis
2227,adjustment
2229,dishonest politicians
2230,hard-to-detect offenses
2231,coordination problem
2232,fully rational voters
2233,party
2234,shared interest
2235,credible commitment
2238,prisoner's dilemma
2241,buy one get one free
2242,BOGO
2245,customer
2247,inventory
2248,discount
2250,deals
2251,businesses
2258,sure bet
1907,risk-preferring
2373,intelligence
2264,good workers
2265,bad workers
2270,hire
2272,worker types
2273,worker value
2274,worker cost
2266,self-employment
2276,worker quality
2277,worker observation
2278,worker fee
2279,gross profit
2280,worker net profit
2282,perceptions of fairness
2284,nominal wage cuts
2285,inflationary environment
2286,Rabin
2287,psychology and economics
2288,social preferences
2290,efficiency wage experiment
2291,market-clearing wages
2295,biased estimates
2296,dependent variable
2297,monetary income
2301,rational irrationality
2303,knife-edge stupidity
2306,moral outrage
2307,wasted billions
2308,Zoe-Baird nomination
2309,pork as usual politics
2311,public
2312,high taxes
2314,Systematically Biased Beliefs About Economics
2317,tax burdens
2318,hours worked
2319,marginal customers
2321,view
2323,tags: agents
2330,units
2333,true/false
2336,consumption ratio
2342,matrix
2346,focal
2349,zero fixed costs
2351,perfectly efficient outcome
2353,best-response quantity setting
2355,undercutting competitors
2356,capturing the entire market
2362,demanders
2363,suppliers
2365,value function
2366,slope
2367,reference level
2369,risk-loving
2370,gains
2374,fade-out effect
2375,temporary increase
2299,downward bias
2377,controlling for intelligence
2378,estimated effect
2379,skills
2380,wage
2381,IQ
2382,omitted variable bias
2383,transitory
2384,permanent
2385,PIH
2386,economic theory
2388,psychological benefits
2239,Kaldor-Hicks
2392,public-choice
2394,aggregate costs
2406,betting markets
2408,objective probabilities
2409,subjective probabilities
2410,agents' preferences
2411,agents' endowments
2412,accurate beliefs
2413,arbitrage-profits
2414,biased subjective beliefs
2415,convergence
2420,cheap talk
2426,randomizing
2434,donation
2209,decision tree
2439,job search
2210,sure thing
2212,unemployment insurance
2302,political failure
2443,payout
2446,option
2449,socially wasteful
2451,breast implants
2452,relative size
2453,absolute size
2454,arms race
2455,attracting partners
2456,economic assumptions
2457,normative
2391,private benefits
2193,market failure
2269,school
2397,contestable industry
2387,irrationality
2225,investors
2213,premium
2450,signaling
2364,loss aversion
2350,constant marginal costs
2396,marginal benefits
2458,standard economic agents
2460,idealized economic agent
2461,prescriptive
2463,violation of assumptions
2465,average worker
2467,unemployment rate
2472,myopia
2473,long-term consequences
2474,efficient markets hypothesis
2475,marginal private cost
2476,irrational investing
2477,stock prices
2478,random walk
2479,unpredictable
2482,Rational Expectations
2483,signals
2486,market indexed mutual funds
2488,buying
2489,selling
2490,best price
2491,lose
2492,gain
2493,additional stock
2495,transaction costs
2496,asset price changes
2498,rational investing
2499,irrational preferences
2500,index funds
2501,hedge
2503,equilibrium outcomes
2504,markets
2505,pairwise bargaining
2512,standardized test
2513,seventh grade
2514,schools
2515,Caplan's lecture
2108,Stigler-Becker
2109,Myers-Briggs
2521,Cowen's objection
2522,intelligence tests
2523,sorting people
2524,careers
2526,predictive
2527,openness to experience
2528,Conscientiousness
2529,Extraversion
2530,Agreeableness
2531,Neuroticism
2532,Stability
2533,stability of traits
2534,engineering
2535,social outcast
2536,voter misinformation
2537,poor policy choices
2538,informed voters
2539,college-educated people
2540,conclusion
2543,empirical findings
2545,policy decisions
2547,intertemporal model
2548,interest rates
2549,expected income growth
2550,future output
2551,present output
2552,scarcity
2553,rate of interest
2554,future income
2555,The tags for this question
2556,sorted from better to worst
2560,Darwinian mechanism
2562,Biology
2563,invisible hand
2564,birds of paradise
2566,college degrees
2570,rational agents
2574,standard assumptions
2080,EU
2579,childless
2585,bidding price
2587,car insurance
2588,cautious driving
2590,externalizing costs
2592,left-wing ideology
2593,pro-market
2594,anti-market
2595,selection bias
2597,sociologists
2599,general population
2600,attitude
2602,return on investment
2644,Rational Irrationality
2606,private return
2607,social return
2608,realistic assumptions
2609,economic returns
2610,evaluation
2613,U.S. policy
2614,policy changes
2615,punitive punishments
2616,contracts
2619,responsible behavior
2621,poor drivers
2623,prudent choices
2624,reduced moral hazard
2626,irrational political beliefs
2627,political markets
2629,mismeasurement
2630,primary output
2631,psychological well-being
2632,wealth-maximizing policy
2636,psychological gain
2637,wealth loss
2638,social resources
2640,probability of determination
2641,individually rational
2643,low probabilities
2645,efficiency in markets
2646,total social value
2648,monetary value
2649,individual's vote
2650,election
2652,consequence
2653,externality problem
2389,social costs
2655,private costs
2656,decision-maker
2657,fiscal stimulus
2658,general equilibrium framework
2660,stimulus package
2661,2nd Welfare Theorem
2664,efficient allocation
2665,overall economy
2673,entry game
2674,competitors
2680,search theory
2681,geniuses
2682,discoveries
2683,marginal benefit
2464,efficiency wage model
2494,motivation
2618,premiums
2635,protectionism
2634,free trade
2511,signaling model of education
2672,player strategies
2586,market unraveling
2517,vulnerability
2468,productivity
2617,insurance companies
2502,variance
2620,government subsidies
2469,shirking
1909,asymmetric information
2688,market efficiency
2690,lemons market
2484,true value
2694,market clearing price
2695,overestimate
2696,underestimate
2698,adverse selection
2703,deductibles
2704,copays
2706,unemployment rates
2709,schooling
2710,behavioral traits
2712,discount rates
2713,conformity
2715,white-collar workers
2716,blue-collar workers
2717,observable output
2718,input
2719,wage floor
2720,credible threats
2722,signaling models
2723,selfish agents
2726,trustworthiness
2727,social status
2729,rational irrationality model
2730,political betting markets
2731,biased predictions
2733,financial incentive
2734,rational predictions
2735,privately costless
2738,median voter
2742,uneven distribution
2743,average income
2744,gains from trade
2746,protectionist policies
2747,Wittmanian explanation
2748,taxation
2751,efficient
2753,fairness norms
2755,implementation
2756,challenges
2762,probability of entry
2763,TR
2766,MR
2768,Ellsberg Paradox
2770,choice under uncertainty
2771,risk assessment
2774,insurance markets
2775,risk preference
2776,risk-preferring individuals
2777,risk-averse individuals
2778,mental accounting
2780,income-flow account
2781,asset account
2782,marginal propensity to consume
2783,marginal propensity to save
2784,consumption level
2785,lump-sum payments
2786,John
2787,Joan
2790,Microfoundations
2791,Political Failure
2795,financial incentives
2796,hard work
2797,government pay scales
2798,bad incentives
2799,trickle down
2800,bureaucratic hierarchy
2801,regulatory officials
2802,maximize power
2803,budgets
2804,scope of authority
2805,elected politicians
2807,rank-and-file government employees
2808,slack
2809,transfer of wealth
2810,public's reaction
2811,inefficiencies.
2814,hourly work subsidy
2918,capital value
2818,subsidy
2821,redistributive policy
2826,stakes
2827,risk tolerance
2828,equitable splits
2829,reciprocity
2830,infinitely repeating game
2832,auction
2836,bidding strategies
2837,overbidding
2838,loss
2839,actors
2841,self-enhancement bias
2842,self-diminishment bias
2844,democratic outcomes
2847,accuracy
2848,understanding
2849,political issues
2850,economic issues
2851,market predictions
2852,foregone earnings
2853,cost of education
2860,social output
2861,social rate of return
2863,federal system
2868,community
2869,limiting expenditures
2870,lump-sum tax
2875,non-distortionary
2876,personal abilities
2877,low income
2878,politically unpalatable
2879,equity concerns
2880,regressive
2882,two-period world
2887,probability distribution
2890,actuarially fair
2894,certain payout
2896,uncertain value
2898,work effort
2899,employers
2901,market wage
2714,shirk
2905,termination
2907,job hunting
2908,industry wage
2909,marginal productivity
1408,expected value
2911,competitive
2912,privatization
2913,oil fields
2914,Russian government
2917,borrowing
2920,lifetime income
2921,liquidity constraint
2922,privatization success
2923,special interests
2924,highest bidder
2925,future payments
2926,selling price
2927,new revenue
2928,additional debt
2930,government responsiveness
2934,agency incentives
2935,blame
2937,independent agencies
2940,populist backlash
2941,central bank
2833,winner's curse
2711,monitoring costs
2902,labor surplus
2813,lump sum tax
2721,labor market
2897,efficiency wages
2943,rational voters
2944,irrational voters
2946,insulate
2948,public enterprises
2794,bureaucrats
2950,innovation.
595,benefit
2963,S shape
2964,entrant firm
2967,threat of entry
488,potential competition
486,intersection
2976,perfectly competitive
2977,accident probabilities
2981,actuarially fair insurance
2982,potential customers
2984,neoclassical economics
2986,disappointment
2987,mean expectation
2989,systematic bias
2874,imperfect information
2991,random distribution
2992,average out
2996,noisy signal
2997,sheepskin effect
2999,employer
3000,traits
3002,rational ignorance
3007,faction
3008,American political system
3009,ambition
3010,reform
3011,real interest rate
3012,economic growth
3013,intertemporal general equilibrium consumption model
3014,measure of patience
3017,saving
3018,investment
3019,future economic growth
3021,current endowment
3022,inequality proof
3028,credible threat
3029,intended outcome
3032,location
3033,higher valued payoff
3042,options
3044,signaling theory
3045,fair behavior
3046,vindictive behavior
3048,competitive advantage
3049,behavioral type
3051,direct benefits
3052,innate preferences
3053,advantageous outcomes
3054,future interactions
3055,perceived as fair
